Old Ward Code,New ward code,Ward,Borough,Life_Expectancy,Childhood_Obesity,Unemployment_rate,Public_Transport,Homes_greenspace ,GCSE
00AA,E09000001,City of London,City of London,86.4,24.2,2.4,7.7,-6.5,353.896
00ABFX,E05000026,Abbey,Barking and Dagenham,82.0,22.0,8.5,5.9,-0.9,328.483161
00ABFY,E05000027,Alibon,Barking and Dagenham,79.0,25.9,9.9,3.2,-1.8,324.9010338
00ABFZ,E05000028,Becontree,Barking and Dagenham,79.2,24.1,9.7,2.9,-5.5,328.1919617
00ABGA,E05000029,Chadwell Heath,Barking and Dagenham,80.8,25.2,8.5,2.3,2.0,329.7770531
00ABGB,E05000030,Eastbrook,Barking and Dagenham,79.2,23.6,7.7,2.3,5.7,334.776419
00ABGC,E05000031,Eastbury,Barking and Dagenham,82.0,23.1,9.3,2.8,-8.2,332.4166592
00ABGD,E05000032,Gascoigne,Barking and Dagenham,78.2,23.4,12.9,3.8,-10.0,325.6675542
00ABGE,E05000033,Goresbrook,Barking and Dagenham,80.3,25.3,9.2,2.5,4.8,325.7663188
00ABGF,E05000034,Heath,Barking and Dagenham,78.5,25.7,11.6,2.6,0.4,327.0409441
00ABGG,E05000035,Longbridge,Barking and Dagenham,82.2,23.8,5.1,3.1,-2.2,354.803356
00ABGH,E05000036,Mayesbrook,Barking and Dagenham,80.0,23.1,9.1,2.6,2.4,330.4409466
00ABGJ,E05000037,Parsloes,Barking and Dagenham,79.9,24.8,9.0,2.7,-1.7,335.2360558
00ABGK,E05000038,River,Barking and Dagenham,76.5,26.7,8.4,3.0,2.9,322.657555
00ABGL,E05000039,Thames,Barking and Dagenham,80.1,23.7,9.6,2.3,-6.3,321.9698743
00ABGM,E05000040,Valence,Barking and Dagenham,78.8,22.6,9.3,3.2,-2.4,334.2592905
00ABGN,E05000041,Village,Barking and Dagenham,78.5,26.5,11.8,2.8,7.9,315.5167817
00ABGP,E05000042,Whalebone,Barking and Dagenham,83.4,25.6,6.1,2.9,-15.2,339.8476667
00ACFX,E05000043,Brunswick Park,Barnet,83.5,18.1,4.1,2.8,0.8,365.0039739
00ACFY,E05000044,Burnt Oak,Barnet,78.8,23.5,7.2,3.6,-7.4,332.0275266
00ACFZ,E05000045,Childs Hill,Barnet,81.1,24.7,5.6,4.5,-1.0,356.6263848
00ACGA,E05000046,Colindale,Barnet,83.9,22.1,5.5,2.5,-6.4,335.3716521
00ACGB,E05000047,Coppetts,Barnet,80.6,16.3,5.0,2.9,-2.0,358.1698359
00ACGC,E05000048,East Barnet,Barnet,83.2,18.5,4.4,2.6,4.3,347.6676637
00ACGD,E05000049,East Finchley,Barnet,83.6,14.1,4.1,2.6,-3.4,355.7894049
00ACGE,E05000050,Edgware,Barnet,85.6,21.0,4.2,2.9,-3.8,356.1326952
00ACGF,E05000051,Finchley Church End,Barnet,86.4,15.5,3.4,2.9,-13.3,370.7333404
00ACGG,E05000052,Garden Suburb,Barnet,87.1,8.5,2.1,2.7,1.4,386.2556993
00ACGH,E05000053,Golders Green,Barnet,81.6,17.1,4.5,3.4,-8.9,357.36418
00ACGJ,E05000054,Hale,Barnet,83.7,22.0,4.4,2.5,-5.1,347.9298697
00ACGK,E05000055,Hendon,Barnet,82.2,18.4,4.5,2.6,-7.3,367.4283271
00ACGL,E05000056,High Barnet,Barnet,83.1,16.3,3.0,2.7,3.8,377.3309617
00ACGM,E05000057,Mill Hill,Barnet,85.2,18.8,3.8,2.2,3.7,355.4198697
00ACGN,E05000058,Oakleigh,Barnet,82.7,15.5,3.6,3.2,-7.8,369.9297854
00ACGP,E05000059,Totteridge,Barnet,84.5,13.8,2.6,2.6,8.0,371.1156124
00ACGQ,E05000060,Underhill,Barnet,81.0,17.1,5.3,2.6,4.5,344.6255611
00ACGR,E05000061,West Finchley,Barnet,83.0,13.3,3.6,3.7,-16.1,375.7470049
00ACGS,E05000062,West Hendon,Barnet,83.4,18.9,5.5,3.5,-0.2,357.3130051
00ACGT,E05000063,Woodhouse,Barnet,83.1,18.2,4.6,2.8,-11.5,365.4352176
00ADGA,E05000064,Barnehurst,Bexley,82.6,21.0,3.5,3.0,-1.7,350.740229
00ADGB,E05000065,Belvedere,Bexley,82.6,21.4,6.0,2.5,4.5,323.4226354
00ADGC,E05000066,Blackfen and Lamorbey,Bexley,85.4,19.4,2.5,2.1,-5.0,354.8131699
00ADGD,E05000067,Blendon and Penhill,Bexley,84.4,18.8,2.6,2.0,1.1,355.2638169
00ADGE,E05000068,Brampton,Bexley,85.1,20.2,2.6,2.6,-8.5,359.4586831
00ADGF,E05000069,Christchurch,Bexley,81.6,19.4,3.5,3.4,-2.9,364.7761121
00ADGG,E05000070,Colyers,Bexley,81.6,23.0,6.3,2.0,-12.0,328.9951863
00ADGH,E05000071,Crayford,Bexley,81.9,21.5,5.4,2.0,-2.9,328.7002319
00ADGJ,E05000072,Cray Meadows,Bexley,81.9,24.3,4.5,2.0,10.6,339.7550188
00ADGK,E05000073,Danson Park,Bexley,82.2,19.3,3.4,2.9,5.9,355.6142644
00ADGL,E05000074,East Wickham,Bexley,83.1,22.4,4.2,2.7,-2.4,345.961009
00ADGM,E05000075,Erith,Bexley,81.9,25.8,6.3,2.5,6.9,335.6295886
00ADGN,E05000076,Falconwood and Welling,Bexley,83.2,19.1,3.2,2.5,-9.4,358.4003256
00ADGP,E05000077,Lesnes Abbey,Bexley,82.9,23.2,5.2,2.8,4.8,341.0728834
00ADGQ,E05000078,Longlands,Bexley,81.8,17.4,2.9,2.6,2.8,361.1890308
00ADGR,E05000079,North End,Bexley,78.7,25.4,8.5,2.4,14.8,316.2910618
00ADGS,E05000080,Northumberland Heath,Bexley,82.8,20.5,3.6,2.1,-5.9,341.1737128
00ADGT,E05000081,St Mary's,Bexley,84.9,17.6,2.2,2.6,6.1,370.0958038
00ADGU,E05000082,St Michael's,Bexley,82.8,20.1,3.7,2.1,-8.6,348.1702124
00ADGW,E05000083,Sidcup,Bexley,81.6,16.4,2.5,3.1,3.8,369.7220817
00ADGX,E05000084,Thamesmead East,Bexley,79.9,26.3,8.4,2.5,9.9,335.6659493
00AEGJ,E05000085,Alperton,Brent,82.5,18.4,4.6,3.0,-7.9,335.7327904
00AEGK,E05000086,Barnhill,Brent,79.4,27.9,6.9,2.9,6.8,344.3940687
00AEGL,E05000087,Brondesbury Park,Brent,84.0,19.3,5.4,3.9,-14.7,338.4010558
00AEGM,E05000088,Dollis Hill,Brent,85.5,21.1,7.6,2.8,0.1,329.7991453
00AEGN,E05000089,Dudden Hill,Brent,84.6,23.2,8.2,3.4,-4.0,338.0225865
00AEGP,E05000090,Fryent,Brent,82.4,18.3,5.3,2.8,8.9,349.8634067
00AEGQ,E05000091,Harlesden,Brent,80.5,26.9,19.7,3.8,-14.1,309.477853
00AEGR,E05000092,Kensal Green,Brent,84.3,24.5,12.3,4.0,-3.7,324.3465402
00AEGS,E05000093,Kenton,Brent,87.3,16.4,2.8,2.6,-2.2,371.2320968
00AEGT,E05000094,Kilburn,Brent,83.1,25.7,12.5,5.5,-13.4,325.7412943
00AEGU,E05000095,Mapesbury,Brent,81.5,23.1,7.2,4.5,-10.2,330.6320145
00AEGW,E05000096,Northwick Park,Brent,82.7,19.6,3.2,2.8,-1.1,364.469355
00AEGX,E05000097,Preston,Brent,82.7,22.0,4.9,3.2,0.3,347.5818752
00AEGY,E05000098,Queens Park,Brent,83.8,19.7,6.5,5.0,-5.1,344.4957677
00AEGZ,E05000099,Queensbury,Brent,82.2,22.8,4.4,3.0,-0.8,353.5031824
00AEHA,E05000100,Stonebridge,Brent,79.3,27.5,13.6,3.0,-12.1,314.8873943
00AEHB,E05000101,Sudbury,Brent,81.4,23.9,5.8,3.3,4.4,354.3739896
00AEHC,E05000102,Tokyngton,Brent,81.0,23.5,5.1,3.3,-6.3,332.2595996
00AEHD,E05000103,Welsh Harp,Brent,82.9,26.9,7.5,2.8,8.6,336.2123333
00AEHE,E05000104,Wembley Central,Brent,83.4,20.5,6.2,4.8,-6.6,345.4949702
00AEHF,E05000105,Willesden Green,Brent,80.4,23.1,8.3,4.6,-0.2,320.5707398
00AFGD,E05000106,Bickley,Bromley,81.6,13.1,2.4,2.3,-8.4,382.0732386
00AFGE,E05000107,Biggin Hill,Bromley,84.6,14.3,2.7,1.8,-1.4,345.5735446
00AFGF,E05000108,Bromley Common and Keston,Bromley,83.3,15.4,3.9,2.3,11.9,358.8940133
00AFGG,E05000109,Bromley Town,Bromley,81.5,17.1,3.4,3.8,-1.2,371.4730846
00AFGH,E05000110,Chelsfield and Pratts Bottom,Bromley,85.4,15.9,2.2,2.0,10.1,369.1526908
00AFGJ,E05000111,Chislehurst,Bromley,82.1,15.5,2.7,2.2,6.8,365.4914998
00AFGK,E05000112,Clock House,Bromley,82.7,18.5,3.9,4.0,-2.9,353.1855806
00AFGL,E05000113,Copers Cope,Bromley,82.0,12.1,3.0,3.1,-5.0,347.4284076
00AFGM,E05000114,Cray Valley East,Bromley,81.4,22.6,5.8,2.2,11.5,329.5535959
00AFGN,E05000115,Cray Valley West,Bromley,81.5,21.0,6.7,2.3,-0.8,330.6732276
00AFGP,E05000116,Crystal Palace,Bromley,79.4,22.9,8.1,4.4,11.6,323.8278118
00AFGQ,E05000117,Darwin,Bromley,82.7,17.2,1.8,1.3,7.2,357.5845345
00AFGR,E05000118,Farnborough and Crofton,Bromley,85.5,13.3,2.2,2.3,3.7,375.5447757
00AFGS,E05000119,Hayes and Coney Hall,Bromley,84.2,11.3,2.7,2.3,13.8,369.4492952
00AFGT,E05000120,Kelsey and Eden Park,Bromley,85.3,15.3,2.8,2.7,4.6,362.815915
00AFGU,E05000121,Mottingham and Chislehurst North,Bromley,80.5,20.8,6.6,2.5,5.5,331.7924503
00AFGW,E05000122,Orpington,Bromley,84.1,18.1,4.3,2.8,-5.5,354.9047913
00AFGX,E05000123,Penge and Cator,Bromley,82.4,21.0,7.0,4.0,4.1,335.2625965
00AFGY,E05000124,Petts Wood and Knoll,Bromley,85.9,12.3,2.1,2.5,-0.4,382.7970169
00AFGZ,E05000125,Plaistow and Sundridge,Bromley,79.9,16.7,4.6,2.9,0.3,353.9158447
00AFHA,E05000126,Shortlands,Bromley,87.1,13.8,2.1,2.5,-6.3,380.6346054
00AFHB,E05000127,West Wickham,Bromley,84.5,13.4,2.4,2.2,-1.9,372.4781996
00AGGD,E05000128,Belsize,Camden,86.3,22.7,3.4,4.1,-5.2,345.6540378
00AGGE,E05000129,Bloomsbury,Camden,84.0,22.9,4.7,7.9,0.9,339.0520476
00AGGF,E05000130,Camden Town with Primrose Hill,Camden,84.6,17.1,5.6,5.8,2.1,337.7400791
00AGGG,E05000131,Cantelowes,Camden,81.8,20.7,6.5,4.9,-2.0,334.5683082
00AGGH,E05000132,Fortune Green,Camden,85.3,23.0,4.8,4.6,1.2,325.8075755
00AGGJ,E05000133,Frognal and Fitzjohns,Camden,86.5,11.6,1.9,4.5,-7.0,336.7843434
00AGGK,E05000134,Gospel Oak,Camden,83.3,21.3,6.6,4.0,-1.9,325.1954692
00AGGL,E05000135,Hampstead Town,Camden,87.4,15.1,1.7,4.1,8.9,348.5450761
00AGGM,E05000136,Haverstock,Camden,81.7,26.4,7.6,4.9,-7.4,311.1473074
00AGGN,E05000137,Highgate,Camden,85.1,16.4,5.0,3.9,15.8,322.6649669
